OP_POP pop
OP_DUP dup
OP_DUP_2 dup_2
OP_ROT_2 rot_2
OP_ROT_3 rot_3

OP_DCONST dconst
OP_ICONST iconst
OP_SCONST sconst
OP_FALSE const_false
OP_TRUE const_true
OP_NULL const_null

OP_NEGATIVE negative
OP_POSITIVE positive
OP_NOT not

OP_ADD add
OP_SUB sub
OP_MUL mul
OP_DIV div
OP_MOD mod
OP_INSTANCE_OF instanceof

OP_EQ cmpeq
OP_NOTEQ cmpneq
OP_GT cmpgt
OP_GTEQ cmpgteq
OP_LT cmplt
OP_LTEQ cmplteq

OP_POP_JUMP_IF_FALSE pop_jump_if_false
OP_POP_JUMP_IF_TRUE pop_jump_if_true
OP_JUMP_IF_FALSE jump_if_false
OP_JUMP_IF_TRUE jump_if_true
OP_JUMP jump

OP_LOAD load
OP_LOAD0 load0
OP_LOAD1 load1
OP_LOAD2 load2
OP_LOAD3 load3
OP_LOAD4 load4
OP_STORE store
OP_STORE0 store0
OP_STORE1 store1
OP_STORE2 store2
OP_STORE3 store3
OP_STORE4 store4
OP_POP_STORE pop_store
OP_LOAD_UPVALUE load_upvalue
OP_STORE_UPVALUE store_upvalue

OP_GET_ATTR get_attr
OP_SET_ATTR set_attr
OP_GET_ITEM get_item
OP_SET_ITEM set_item

OP_CLOSE_SLOT close_slot
OP_CLOSE_UPVALUE close_upvalue

OP_GLOBAL_DEFINE global_define
OP_GLOBAL_SET globalset
OP_GLOBAL_GET globalget

OP_INVOKE invoke
OP_CALL_GLOBAL call_global_var
OP_CALL_SLOT call_slot
OP_CALL call

OP_RETURN_NIL return_nil
OP_RETURN return

OP_CLASS class
OP_SUPER_GET super_get
OP_SUPER_INVOKE super_invoke
OP_FUN fun

OP_NEW_ARRAY new_array
OP_APPEND append
OP_ASSERT assert
OP_PRINT print

OP_EXIT exit
